Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 09:00:00 +01:00,2020-07-19 10:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 10:00:00 +01:00,2020-07-19 11:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 11:00:00 +01:00,2020-07-19 12:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 12:00:00 +01:00,2020-07-19 13:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 13:00:00 +01:00,2020-07-19 14:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 14:00:00 +01:00,2020-07-19 15:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 15:00:00 +01:00,2020-07-19 16:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 16:00:00 +01:00,2020-07-19 17:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 17:00:00 +01:00,2020-07-19 18:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 18:00:00 +01:00,2020-07-19 19:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 19:00:00 +01:00,2020-07-19 20:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 20:00:00 +01:00,2020-07-19 21:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 21:00:00 +01:00,2020-07-19 22:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 22:00:00 +01:00,2020-07-19 23:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-19 23:00:00 +01:00,2020-07-20 00:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 00:00:00 +01:00,2020-07-20 01:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 01:00:00 +01:00,2020-07-20 02:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 02:00:00 +01:00,2020-07-20 03:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 03:00:00 +01:00,2020-07-20 04:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 04:00:00 +01:00,2020-07-20 05:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 05:00:00 +01:00,2020-07-20 06:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 06:00:00 +01:00,2020-07-20 07:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 07:00:00 +01:00,2020-07-20 08:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 08:00:00 +01:00,2020-07-20 09:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 09:00:00 +01:00,2020-07-20 10:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 10:00:00 +01:00,2020-07-20 11:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 11:00:00 +01:00,2020-07-20 12:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 12:00:00 +01:00,2020-07-20 13:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 13:00:00 +01:00,2020-07-20 14:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 14:00:00 +01:00,2020-07-20 15:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 15:00:00 +01:00,2020-07-20 16:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 16:00:00 +01:00,2020-07-20 17:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 17:00:00 +01:00,2020-07-20 18:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 18:00:00 +01:00,2020-07-20 19:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 19:00:00 +01:00,2020-07-20 20:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 20:00:00 +01:00,2020-07-20 21:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 21:00:00 +01:00,2020-07-20 22:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 22:00:00 +01:00,2020-07-20 23:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-20 23:00:00 +01:00,2020-07-21 00:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 00:00:00 +01:00,2020-07-21 01:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 01:00:00 +01:00,2020-07-21 02:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 02:00:00 +01:00,2020-07-21 03:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 03:00:00 +01:00,2020-07-21 04:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 04:00:00 +01:00,2020-07-21 05:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 05:00:00 +01:00,2020-07-21 06:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 06:00:00 +01:00,2020-07-21 07:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 07:00:00 +01:00,2020-07-21 08:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 08:00:00 +01:00,2020-07-21 09:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 09:00:00 +01:00,2020-07-21 10:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 10:00:00 +01:00,2020-07-21 11:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 11:00:00 +01:00,2020-07-21 12:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 12:00:00 +01:00,2020-07-21 13:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 13:00:00 +01:00,2020-07-21 14:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 14:00:00 +01:00,2020-07-21 15:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 15:00:00 +01:00,2020-07-21 16:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 16:00:00 +01:00,2020-07-21 17:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 17:00:00 +01:00,2020-07-21 18:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 18:00:00 +01:00,2020-07-21 19:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 19:00:00 +01:00,2020-07-21 20:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 20:00:00 +01:00,2020-07-21 21:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 21:00:00 +01:00,2020-07-21 22:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 22:00:00 +01:00,2020-07-21 23:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-21 23:00:00 +01:00,2020-07-22 00:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 00:00:00 +01:00,2020-07-22 01:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 01:00:00 +01:00,2020-07-22 02:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 02:00:00 +01:00,2020-07-22 03:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 03:00:00 +01:00,2020-07-22 04:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 04:00:00 +01:00,2020-07-22 05:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 05:00:00 +01:00,2020-07-22 06:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 06:00:00 +01:00,2020-07-22 07:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 07:00:00 +01:00,2020-07-22 08:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 08:00:00 +01:00,2020-07-22 09:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 09:00:00 +01:00,2020-07-22 10:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 10:00:00 +01:00,2020-07-22 11:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 11:00:00 +01:00,2020-07-22 12:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 12:00:00 +01:00,2020-07-22 13:00:00 +01:00,-1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00008_100,SPP-HU_A_chemi_thermo42i,SPO_F-HU0039A_00008_100_101,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,,µg/m3,2020-07-22 13:00:00 +01:00,2020-07-22 14:00:00 +01:00,-1,3
